_id,fy_ef,organization,estimates_document,vote_number,vote_type,authorities
5303,FY 2013-14,National Arts Centre Corporation,Supplementary Estimates B,65,Payments to Crown Corps,325001
5304,FY 2013-14,National Research Council of Canada,Supplementary Estimates B,60,Operating/Program,43939454
5305,FY 2013-14,National Research Council of Canada,Supplementary Estimates B,65,Capital,447001
5306,FY 2013-14,National Research Council of Canada,Supplementary Estimates B,70,Grants & Contributions,16372943
5307,FY 2013-14,Natural Sciences and Engineering Research Council,Supplementary Estimates B,75,Operating/Program,728509
5308,FY 2013-14,Natural Sciences and Engineering Research Council,Supplementary Estimates B,80,Grants & Contributions,13255296
5309,FY 2013-14,Office of the Director of Public Prosecutions,Supplementary Estimates B,35,Operating/Program,3777349
5310,FY 2013-14,Office of the Senate Ethics Officer,Supplementary Estimates B,20,Operating/Program,60000
5311,FY 2013-14,Parks Canada Agency,Supplementary Estimates B,20,Operating/Program,26031275
5312,FY 2013-14,Privy Council Office,Supplementary Estimates B,1,Operating/Program,1097755
5313,FY 2013-14,Public Health Agency of Canada,Supplementary Estimates B,50,Capital,2731962
5314,FY 2013-14,Public Health Agency of Canada,Supplementary Estimates B,45,Operating/Program,18219028
5315,FY 2013-14,Public Health Agency of Canada,Supplementary Estimates B,55,Grants & Contributions,-601311
5316,FY 2013-14,Public Service Commission,Supplementary Estimates B,95,Operating/Program,504001
5317,FY 2013-14,Registrar of the Supreme Court of Canada,Supplementary Estimates B,50,Operating/Program,118613
5318,FY 2013-14,Registry of the Specific Claims Tribunal,Supplementary Estimates B,35,Operating/Program,450314
5319,FY 2013-14,Royal Canadian Mounted Police,Supplementary Estimates B,55,Grants & Contributions,8098728
5320,FY 2013-14,Royal Canadian Mounted Police,Supplementary Estimates B,45,Operating/Program,21628063
5321,FY 2013-14,Royal Canadian Mounted Police,Supplementary Estimates B,50,Capital,1647517
5322,FY 2013-14,Shared Services Canada,Supplementary Estimates B,15,Operating/Program,6525099
5323,FY 2013-14,Shared Services Canada,Supplementary Estimates B,20,Capital,6257031
5324,FY 2013-14,Social Sciences and Humanities Research Council,Supplementary Estimates B,95,Grants & Contributions,6455281
5325,FY 2013-14,Social Sciences and Humanities Research Council,Supplementary Estimates B,90,Operating/Program,471803
5326,FY 2013-14,Statistics Canada,Supplementary Estimates B,105,Operating/Program,36574832
5327,FY 2013-14,The Federal Bridge Corporation Limited,Supplementary Estimates B,45,Payments to Crown Corps,1338293
5328,FY 2013-14,The Jacques-Cartier and Champlain Bridges Inc.,Supplementary Estimates B,50,Payments to Crown Corps,70976409
5329,FY 2013-14,The National Battlefields Commission,Supplementary Estimates B,70,Operating/Program,660000
5330,FY 2013-14,Treasury Board Secretariat,Supplementary Estimates B,25,Treasury Board Central,448912689
5331,FY 2013-14,Treasury Board Secretariat,Supplementary Estimates B,33,Treasury Board Central,-173912689
5332,FY 2013-14,Treasury Board Secretariat,Supplementary Estimates B,1,Operating/Program,2420878
5333,FY 2013-14,Treasury Board Secretariat,Supplementary Estimates B,15,Treasury Board Central,94092664
5334,FY 2013-14,Treasury Board Secretariat,Supplementary Estimates B,20,Treasury Board Central,918264
5335,FY 2013-14,Treasury Board Secretariat,Supplementary Estimates B,30,Treasury Board Central,955000000
5336,FY 2013-14,VIA Rail Canada Inc.,Supplementary Estimates B,60,Payments to Crown Corps,152600000
5337,FY 2013-14,Atlantic Canada Opportunities Agency,Supplementary Estimates C,5,Grants & Contributions,5381177
5338,FY 2013-14,Atlantic Canada Opportunities Agency,Supplementary Estimates C,1,Operating/Program,-87018
5339,FY 2013-14,Canada Border Services Agency,Supplementary Estimates C,15,Capital,-30895000
5340,FY 2013-14,Canada Border Services Agency,Supplementary Estimates C,10,Operating/Program,-20979
5341,FY 2013-14,Canada Council for the Arts,Supplementary Estimates C,10,Payments to Crown Corps,1050000
5342,FY 2013-14,Canada Revenue Agency,Supplementary Estimates C,1,Operating/Program,-6585649
5343,FY 2013-14,Canadian Food Inspection Agency,Supplementary Estimates C,13,Capital,-2477594
5344,FY 2013-14,Canadian Institutes of Health Research,Supplementary Estimates C,15,Operating/Program,-135753
5345,FY 2013-14,Canadian Institutes of Health Research,Supplementary Estimates C,20,Grants & Contributions,2620182
5346,FY 2013-14,Canadian Museum of History,Supplementary Estimates C,35,Payments to Crown Corps,1500000
5347,FY 2013-14,Canadian Northern Economic Development Agency,Supplementary Estimates C,3,Operating/Program,1451768
5348,FY 2013-14,Department for Women and Gender Equality,Supplementary Estimates C,25,Operating/Program,208351
5349,FY 2013-14,Department of Canadian Heritage,Supplementary Estimates C,1,Operating/Program,1502175
5350,FY 2013-14,Department of Canadian Heritage,Supplementary Estimates C,5,Grants & Contributions,1804395
5351,FY 2013-14,Department of Citizenship and Immigration,Supplementary Estimates C,1,Operating/Program,-14800530
5352,FY 2013-14,Department of Citizenship and Immigration,Supplementary Estimates C,8,Other,1
5353,FY 2013-14,Department of Citizenship and Immigration,Supplementary Estimates C,5,Grants & Contributions,30202090
5354,FY 2013-14,Department of Citizenship and Immigration,Supplementary Estimates C,9,Debt Forgiveness,806220
5355,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates C,10,Grants & Contributions,22435554
5356,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates C,1,Operating/Program,-22355553
5357,FY 2013-14,Department of Finance,Supplementary Estimates C,1,Operating/Program,6219094
5358,FY 2013-14,Department of Fisheries and Oceans,Supplementary Estimates C,10,Grants & Contributions,-80000
5359,FY 2013-14,Department of Fisheries and Oceans,Supplementary Estimates C,1,Operating/Program,29865291
5360,FY 2013-14,Department of Fisheries and Oceans,Supplementary Estimates C,5,Capital,-29865290
5361,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,16,Debt Forgiveness,8306202
5362,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,5,Capital,-16646480
5363,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,10,Grants & Contributions,248041
5364,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,1,Operating/Program,33259243
5365,FY 2013-14,Department of Health,Supplementary Estimates C,5,Capital,-1600000
5366,FY 2013-14,Department of Health,Supplementary Estimates C,1,Operating/Program,-28447345
5367,FY 2013-14,Department of Health,Supplementary Estimates C,10,Grants & Contributions,31392828
5368,FY 2013-14,Department of Justice,Supplementary Estimates C,5,Grants & Contributions,5000000
5369,FY 2013-14,Department of Justice,Supplementary Estimates C,1,Operating/Program,-1265452
5370,FY 2013-14,Department of National Defence,Supplementary Estimates C,1,Operating/Program,-54700443
5371,FY 2013-14,Department of National Defence,Supplementary Estimates C,5,Capital,55011612
5372,FY 2013-14,Department of Public Safety and Emergency Preparedness,Supplementary Estimates C,1,Operating/Program,5033071
5373,FY 2013-14,Department of Public Safety and Emergency Preparedness,Supplementary Estimates C,5,Grants & Contributions,-842915
5374,FY 2013-14,Department of Public Works and Government Services,Supplementary Estimates C,1,Operating/Program,82751484
5375,FY 2013-14,Department of Public Works and Government Services,Supplementary Estimates C,5,Capital,-16633285
5376,FY 2013-14,Department of Transport,Supplementary Estimates C,5,Capital,141901
5377,FY 2013-14,Department of Veterans Affairs,Supplementary Estimates C,5,Grants & Contributions,600001
5378,FY 2013-14,Department of Veterans Affairs,Supplementary Estimates C,1,Operating/Program,-496190
5379,FY 2013-14,Department of the Environment,Supplementary Estimates C,10,Grants & Contributions,-145999
5380,FY 2013-14,House of Commons,Supplementary Estimates C,5,Operating/Program,828163
5381,FY 2013-14,International Development Research Centre,Supplementary Estimates C,45,Payments to Crown Corps,241668
5382,FY 2013-14,Library and Archives of Canada,Supplementary Estimates C,55,Operating/Program,694501
5383,FY 2013-14,National Research Council of Canada,Supplementary Estimates C,70,Grants & Contributions,2434875
5384,FY 2013-14,National Research Council of Canada,Supplementary Estimates C,60,Operating/Program,-2501102
5385,FY 2013-14,National Research Council of Canada,Supplementary Estimates C,65,Capital,1530001
5386,FY 2013-14,Natural Sciences and Engineering Research Council,Supplementary Estimates C,80,Grants & Contributions,4467951
5387,FY 2013-14,Natural Sciences and Engineering Research Council,Supplementary Estimates C,75,Operating/Program,-122482
5388,FY 2013-14,Office of the Commissioner for Federal Judicial Affairs,Supplementary Estimates C,20,Operating/Program,700000
5389,FY 2013-14,Office of the Senate Ethics Officer,Supplementary Estimates C,20,Operating/Program,80000
5390,FY 2013-14,Parks Canada Agency,Supplementary Estimates C,20,Operating/Program,6319122
5391,FY 2013-14,Privy Council Office,Supplementary Estimates C,1,Operating/Program,2062421
5392,FY 2013-14,Public Health Agency of Canada,Supplementary Estimates C,45,Operating/Program,-25000
5393,FY 2013-14,Public Health Agency of Canada,Supplementary Estimates C,55,Grants & Contributions,-1693831
5394,FY 2013-14,Royal Canadian Mounted Police,Supplementary Estimates C,45,Operating/Program,-23105041
5395,FY 2013-14,Royal Canadian Mounted Police,Supplementary Estimates C,50,Capital,-671808
5396,FY 2013-14,Shared Services Canada,Supplementary Estimates C,20,Capital,36775760
5397,FY 2013-14,Shared Services Canada,Supplementary Estimates C,15,Operating/Program,153843249
5398,FY 2013-14,Social Sciences and Humanities Research Council,Supplementary Estimates C,95,Grants & Contributions,3065235
5399,FY 2013-14,Social Sciences and Humanities Research Council,Supplementary Estimates C,90,Operating/Program,-64192
5400,FY 2013-14,Treasury Board Secretariat,Supplementary Estimates C,1,Operating/Program,1424230
5401,FY 2013-14,Treasury Board Secretariat,Supplementary Estimates C,15,Treasury Board Central,73303264
5402,FY 2014-15,Atlantic Canada Opportunities Agency,Main Estimates,1,Operating/Program,63873388
5403,FY 2014-15,Atlantic Canada Opportunities Agency,Main Estimates,5,Grants & Contributions,216270293
5404,FY 2014-15,Atomic Energy of Canada Limited,Main Estimates,1,Payments to Crown Corps,102143000
5405,FY 2014-15,Canada Border Services Agency,Main Estimates,1,Operating/Program,1397915271
5406,FY 2014-15,Canada Border Services Agency,Main Estimates,5,Capital,161905641
5407,FY 2014-15,Canada Council for the Arts,Main Estimates,1,Payments to Crown Corps,182092916
5408,FY 2014-15,Canada Industrial Relations Board,Main Estimates,1,Operating/Program,11823711
5409,FY 2014-15,Canada Mortgage and Housing Corporation,Main Estimates,1,Payments to Crown Corps,2097353000
5410,FY 2014-15,Canada Post Corporation,Main Estimates,1,Payments to Crown Corps,22210000
5411,FY 2014-15,Canada Revenue Agency,Main Estimates,5,Capital,72447985
5412,FY 2014-15,Canada Revenue Agency,Main Estimates,1,Operating/Program,2877504675
5413,FY 2014-15,Canada School of Public Service,Main Estimates,1,Operating/Program,39921868
5414,FY 2014-15,Canadian Air Transport Security Authority,Main Estimates,1,Payments to Crown Corps,591626313
5415,FY 2014-15,Canadian Broadcasting Corporation,Main Estimates,5,Payments to Crown Corps,4000000
5416,FY 2014-15,Canadian Broadcasting Corporation,Main Estimates,10,Payments to Crown Corps,104740000
5417,FY 2014-15,Canadian Broadcasting Corporation,Main Estimates,1,Payments to Crown Corps,929278212
5418,FY 2014-15,Canadian Centre for Occupational Health and Safety,Main Estimates,1,Operating/Program,3978250
5419,FY 2014-15,Canadian Commercial Corporation,Main Estimates,1,Payments to Crown Corps,15654204
5420,FY 2014-15,Canadian Dairy Commission,Main Estimates,1,Operating/Program,3610936
5421,FY 2014-15,Canadian Energy Regulator,Main Estimates,1,Operating/Program,64555107
5422,FY 2014-15,Canadian Food Inspection Agency,Main Estimates,5,Capital,24264263
5423,FY 2014-15,Canadian Food Inspection Agency,Main Estimates,1,Operating/Program,470029881
5424,FY 2014-15,Canadian Grain Commission,Main Estimates,1,Operating/Program,7537076
5425,FY 2014-15,Canadian High Arctic Research Station,Main Estimates,1,Operating/Program,2439807
5426,FY 2014-15,Canadian Human Rights Commission,Main Estimates,1,Operating/Program,19639234
5427,FY 2014-15,Canadian Human Rights Tribunal,Main Estimates,1,Operating/Program,4145232
5428,FY 2014-15,Canadian Institutes of Health Research,Main Estimates,5,Grants & Contributions,932143424
5429,FY 2014-15,Canadian Institutes of Health Research,Main Estimates,1,Operating/Program,47112396
5430,FY 2014-15,Canadian Intergovernmental Conference Secretariat,Main Estimates,1,Operating/Program,5548958
5431,FY 2014-15,Canadian International Trade Tribunal,Main Estimates,1,Operating/Program,8305445
5432,FY 2014-15,Canadian Museum for Human Rights,Main Estimates,1,Payments to Crown Corps,21700000
5433,FY 2014-15,Canadian Museum of History,Main Estimates,1,Payments to Crown Corps,63430033
5434,FY 2014-15,Canadian Museum of Immigration at Pier 21,Main Estimates,1,Payments to Crown Corps,9900000
5435,FY 2014-15,Canadian Museum of Nature,Main Estimates,1,Payments to Crown Corps,26127096
5436,FY 2014-15,Canadian Northern Economic Development Agency,Main Estimates,5,Grants & Contributions,18641803
5437,FY 2014-15,Canadian Northern Economic Development Agency,Main Estimates,1,Operating/Program,11231366
5438,FY 2014-15,Canadian Nuclear Safety Commission,Main Estimates,1,Operating/Program,36578266
5439,FY 2014-15,Canadian Radio-television and Telecommunications Commission,Main Estimates,1,Operating/Program,3945670
5440,FY 2014-15,Canadian Security Intelligence Service,Main Estimates,1,Operating/Program,468824514
5441,FY 2014-15,Canadian Space Agency,Main Estimates,10,Grants & Contributions,39306853
