_id,fy_ef,organization,estimates_document,statutory_item,authorities
3942,FY 2013-14,Department of Finance,Supplementary Estimates B,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),-32027000
3943,FY 2013-14,Department of Finance,Supplementary Estimates B,Canadian Securities Regulation Regime Transition Office (Canadian Securities Regulation Regime Transition Office Act),5800000
3944,FY 2013-14,Department of Finance,Supplementary Estimates B,Interest on Unmatured Debt,-556000000
3945,FY 2013-14,Department of Finance,Supplementary Estimates B,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-6462000
3946,FY 2013-14,Department of Finance,Supplementary Estimates B,Other Interest Costs,-56000000
3947,FY 2013-14,Department of Finance,Supplementary Estimates B,"Additional Fiscal Equalization Payment - Total Transfer Protection (Economic Action Plan 2013 Act, No. 1, Section 111, which amends Part I of the Federal-Provincial Fiscal Arrangements Act)",55806000
3948,FY 2013-14,Department of Fisheries and Oceans,Supplementary Estimates B,Contributions to employee benefit plans,1896427
3949,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,Contributions to employee benefit plans,3391429
3950,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,Advance Market Commitment for Pneumococcal Vaccines,17000000
3951,FY 2013-14,Department of Health,Supplementary Estimates B,Contributions to employee benefit plans,1173218
3952,FY 2013-14,Department of Health,Supplementary Estimates B,"Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",58860280
3953,FY 2013-14,Department of Industry,Supplementary Estimates B,Contributions to employee benefit plans,210233
3954,FY 2013-14,Department of Industry,Supplementary Estimates B,Canadian Youth Business Foundation,9000000
3955,FY 2013-14,Department of Justice,Supplementary Estimates B,Contributions to employee benefit plans,147123
3956,FY 2013-14,Department of National Defence,Supplementary Estimates B,Contributions to employee benefit plans,416583
3957,FY 2013-14,Department of Natural Resources,Supplementary Estimates B,Contributions to employee benefit plans,474680
3958,FY 2013-14,Department of Public Works and Government Services,Supplementary Estimates B,Contributions to employee benefit plans,2207820
3959,FY 2013-14,Department of Transport,Supplementary Estimates B,Contributions to employee benefit plans,645075
3960,FY 2013-14,Department of Transport,Supplementary Estimates B,Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act,1500000
3961,FY 2013-14,Department of the Environment,Supplementary Estimates B,Contributions to employee benefit plans,556365
3962,FY 2013-14,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates B,Contributions to employee benefit plans,189428
3963,FY 2013-14,Federal Economic Development Agency for Southern Ontario,Supplementary Estimates B,Salary and Motor Car Allowance,2000
3964,FY 2013-14,House of Commons,Supplementary Estimates B,Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account,776171
3965,FY 2013-14,National Research Council of Canada,Supplementary Estimates B,Contributions to employee benefit plans,6867838
3966,FY 2013-14,Natural Sciences and Engineering Research Council,Supplementary Estimates B,Contributions to employee benefit plans,55535
3967,FY 2013-14,Office of the Senate Ethics Officer,Supplementary Estimates B,Contributions to employee benefit plans,6000
3968,FY 2013-14,Parks Canada Agency,Supplementary Estimates B,Contributions to employee benefit plans,394209
3969,FY 2013-14,Privy Council Office,Supplementary Estimates B,Contributions to employee benefit plans,87211
3970,FY 2013-14,Public Health Agency of Canada,Supplementary Estimates B,Contributions to employee benefit plans,651632
3971,FY 2013-14,Public Health Agency of Canada,Supplementary Estimates B,"Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",14027197
3972,FY 2013-14,Registry of the Specific Claims Tribunal,Supplementary Estimates B,Contributions to employee benefit plans,202932
3973,FY 2013-14,Shared Services Canada,Supplementary Estimates B,Contributions to employee benefit plans,100452
3974,FY 2013-14,Social Sciences and Humanities Research Council,Supplementary Estimates B,Contributions to employee benefit plans,19833
3975,FY 2013-14,Statistics Canada,Supplementary Estimates B,Contributions to employee benefit plans,5048433
3976,FY 2013-14,Treasury Board Secretariat,Supplementary Estimates B,Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act,443000000
3977,FY 2013-14,Treasury Board Secretariat,Supplementary Estimates B,Contributions to employee benefit plans,307647
3978,FY 2013-14,Atlantic Canada Opportunities Agency,Supplementary Estimates C,Contributions to employee benefit plans,15100
3979,FY 2013-14,Canada Border Services Agency,Supplementary Estimates C,Contributions to employee benefit plans,223434
3980,FY 2013-14,Canada Revenue Agency,Supplementary Estimates C,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",-253000000
3981,FY 2013-14,Canada Revenue Agency,Supplementary Estimates C,Contributions to employee benefit plans,915122
3982,FY 2013-14,Canadian Northern Economic Development Agency,Supplementary Estimates C,Contributions to employee benefit plans,199707
3983,FY 2013-14,Department of Citizenship and Immigration,Supplementary Estimates C,Contributions to employee benefit plans,247108
3984,FY 2013-14,Department of Citizenship and Immigration,Supplementary Estimates C,Salary and Motor Car Allowance,2000
3985,FY 2013-14,Department of Citizenship and Immigration,Supplementary Estimates C,Fees returned in connection with a terminated application,-18800000
3986,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates C,Contributions to employee benefit plans,28358
3987,FY 2013-14,Department of Finance,Supplementary Estimates C,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-874000
3988,FY 2013-14,Department of Finance,Supplementary Estimates C,Incentive for provinces to eliminate taxes on capital (Part IV Federal-Provincial Fiscal Arrangements Act),92325000
3989,FY 2013-14,Department of Finance,Supplementary Estimates C,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),-4380000
3990,FY 2013-14,Department of Finance,Supplementary Estimates C,"Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",1969502
3991,FY 2013-14,Department of Finance,Supplementary Estimates C,Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act),14472000
3992,FY 2013-14,Department of Finance,Supplementary Estimates C,Interest on Unmatured Debt,-182000000
3993,FY 2013-14,Department of Finance,Supplementary Estimates C,"Payment to Ontario related to the Canada Health Transfer (Budget Implementation Act,2009)",10052000
3994,FY 2013-14,Department of Finance,Supplementary Estimates C,Contributions to employee benefit plans,352481
3995,FY 2013-14,Department of Finance,Supplementary Estimates C,Other Interest Costs,-59000000
3996,FY 2013-14,Department of Fisheries and Oceans,Supplementary Estimates C,Contributions to employee benefit plans,1254515
3997,FY 2013-14,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,Contributions to employee benefit plans,1181124
3998,FY 2013-14,Department of Health,Supplementary Estimates C,Contributions to employee benefit plans,74338
3999,FY 2013-14,Department of Justice,Supplementary Estimates C,Contributions to employee benefit plans,26616
4000,FY 2013-14,Department of Public Safety and Emergency Preparedness,Supplementary Estimates C,Contributions to employee benefit plans,55021
4001,FY 2013-14,Department of Public Works and Government Services,Supplementary Estimates C,Contributions to employee benefit plans,213123
4002,FY 2013-14,Department of the Environment,Supplementary Estimates C,Nature Conservancy of Canada,20000000
4003,FY 2013-14,House of Commons,Supplementary Estimates C,Contributions to employee benefit plans,91285
4004,FY 2013-14,Parks Canada Agency,Supplementary Estimates C,Contributions to employee benefit plans,150000
4005,FY 2013-14,Privy Council Office,Supplementary Estimates C,Contributions to employee benefit plans,310580
4006,FY 2013-14,Treasury Board Secretariat,Supplementary Estimates C,Contributions to employee benefit plans,151999
4007,FY 2014-15,Atlantic Canada Opportunities Agency,Main Estimates,Contributions to employee benefit plans,8340703
4008,FY 2014-15,Atlantic Canada Opportunities Agency,Main Estimates,Salary and Motor Car Allowance,2000
4009,FY 2014-15,Canada Border Services Agency,Main Estimates,Contributions to employee benefit plans,176570197
4010,FY 2014-15,Canada Industrial Relations Board,Main Estimates,Contributions to employee benefit plans,1540245
4011,FY 2014-15,Canada Revenue Agency,Main Estimates,Salary and Motor Car Allowance,80300
4012,FY 2014-15,Canada Revenue Agency,Main Estimates,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,179308529
4013,FY 2014-15,Canada Revenue Agency,Main Estimates,Contributions to employee benefit plans,405914620
4014,FY 2014-15,Canada Revenue Agency,Main Estimates,Children's special allowance payments,246000000
4015,FY 2014-15,Canada Revenue Agency,Main Estimates,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",80000000
4016,FY 2014-15,Canada School of Public Service,Main Estimates,Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act,40000000
4017,FY 2014-15,Canada School of Public Service,Main Estimates,Contributions to employee benefit plans,5568160
4018,FY 2014-15,Canadian Centre for Occupational Health and Safety,Main Estimates,Contributions to employee benefit plans,1080791
4019,FY 2014-15,Canadian Energy Regulator,Main Estimates,Contributions to employee benefit plans,6760943
4020,FY 2014-15,Canadian Food Inspection Agency,Main Estimates,"Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",3500000
4021,FY 2014-15,Canadian Food Inspection Agency,Main Estimates,Contributions to employee benefit plans,68372591
